,user_name,conscientiousness,openness,neuroticism,agreeableness,extraversion
0,carrooberg,62.48579728,59.17727936,29.55289916,65.52451057,71.06279542
1,dizziesuperstar333,48.22520596,43.85638418,35.59357662,53.94591608,59.43116778
2,tyson_moore,56.99349583,49.0890763,31.22588476,67.05606105,66.62577148
3,marlakavanaugh,34.41721134,39.9996067,42.93165217,42.82290777,37.88949273
4,glowskincarela,49.04967278,44.21503926,28.65629867,52.17459486,47.27235515
5,laurarizzotto,44.37427177,44.5046532,16.84944399,61.78827009,51.69991536
6,velosostyle,36.71014258,36.310107,25.26151856,45.8704796,55.48997361
7,shreddeddietitian,38.9846279,34.13452164,27.56123342,45.49006397,52.9024886
8,rachelsmithvegas,54.25530841,48.56511933,33.95535119,62.94736074,77.71164587
9,headbangerzclub,28.53250365,36.40172406,29.25133353,48.85411644,40.45373387
10,katcommander,33.08772565,41.28041566,49.302532,38.19285806,38.44547875
11,haciendaagrorecaoortiz,34.8235194,34.36919858,25.83056459,46.41767574,33.37102799
12,juliolsgym,49.04065558,32.72123255,45.52475524,41.58581705,53.90760562
13,amyehessler,52.0993239,37.83951886,24.63852615,60.53877664,62.2572192
14,joeywells5,55.43298179,39.27556557,43.54459716,49.88178136,56.64979781
15,joannazanellaschaub,41.91918307,50.3713102,28.38884924,62.76608621,54.20399628
16,docmarley420,42.88529636,40.62463792,33.15009045,39.14879917,34.61239702
17,courteink,60.32204847,46.39281854,40.3053942,62.92195096,71.09089985
18,bisnispengusahamuda,32.87970739,42.18375621,22.35211589,51.74675132,47.34579953
19,ambersymone,62.45724275,45.12082503,37.12355688,62.91363878,53.52108819
20,annie_hazarika,44.42797689,48.43664398,28.89097127,55.10339256,45.05413119
21,beaurose_,45.43552283,49.39047078,27.45974822,53.94910251,50.2938986
22,jessicashakirbeauty,59.57397369,47.67475305,27.22734675,66.76844856,69.3280516
23,globalhiphopday,40.9180968,47.01830213,26.15744453,68.3542189,62.79971746
24,mysecretavenue,47.66296701,58.48841165,25.61445088,60.49676827,53.26166253
25,bibblethemaltese,41.2076945,55.05547519,36.58382188,54.01815001,52.495198
26,oneforpattycakes,46.57850269,50.71934347,21.34664668,53.3687127,65.13646501
27,f4stmusic,48.6010232,43.96198605,35.93078979,75.10434694,72.55616443
28,kissmyink,54.38844326,39.12359742,32.14351743,52.53324536,60.68142315
29,rachvd,50.11780641,45.667036,43.44880667,51.20813247,51.44123537
30,michaelmyersfit,66.60053204,43.14862624,40.28509485,48.85153151,60.36121973
31,wendysfund,64.0967681,44.3594229,44.20156006,62.35642689,63.03751871
32,iamgrowney,56.53654647,38.51633323,28.23784121,63.81815811,64.38620672
33,elevated_beauty_norcal,49.43418868,49.78969628,24.39061851,64.0128675,61.4038968
34,hafizzmuneeb,56.14629007,50.46027711,30.26732812,63.7531546,68.18929441
35,joanalerche,57.05773942,49.06447915,35.0735377,66.39568105,55.78554977
36,jacqueline.ahh,56.94479272,46.16353704,47.35890262,67.33030625,64.65876723
37,jackietohn,48.87031282,48.91703877,38.98037326,54.61807588,57.41738169
38,emerytani,55.77201064,38.3075527,51.41000161,39.16164625,55.00496579
39,n_v_bree,46.29290951,34.13673283,37.2944728,45.41875355,51.73732153
40,its.priyankaa,46.86358748,40.56100318,24.79114017,66.26170878,52.7072699
41,m0bythicc,51.275804,37.87036727,21.26445451,48.86229626,53.27094465
42,justellenroxanne,50.18231595,41.92551797,33.52188478,49.36222605,61.7918633
43,_glamgourmet,60.21213717,35.81499543,26.30028345,53.55173653,56.65459057
44,fausborghiani,25.42635521,33.85357141,26.34546566,37.76845689,39.62559464
45,alavollestudios,53.66827813,49.86857959,23.30195173,49.51035439,58.72567956
46,officialtanjareen,49.86985103,57.54188234,44.63334134,54.39976716,67.71876379
47,radiantsunwellness,66.71887826,47.94688832,35.05472043,65.97729667,63.4802946
48,salonrosam,58.08657789,55.86144239,34.740578,68.68307164,72.12058137
49,dandaly,37.80251927,44.70106377,40.39180712,35.98460336,59.36476157
50,_indhira,38.33924683,52.27703184,27.99150288,57.56717786,63.14962737
51,ronieriton,26.12582056,34.70482287,22.67195077,43.43497685,43.43223752
52,thebrowguru,50.14992658,40.20915511,31.65099653,55.61027124,70.63249811
53,andrea.gravningen,27.03270434,34.77777974,30.88359662,41.3282632,32.34078878
54,missgandakris,54.2392071,53.17792324,34.57903467,59.63886267,55.63098381
55,airam_rdz,35.58974263,35.14859408,20.13306068,56.3084539,46.42580045
56,lachinarobinson,54.81623563,47.1584696,20.54239179,53.88026783,57.52001078
57,eiia_laaribi,53.7964623,34.2950008,24.6757474,48.43313443,60.10898917
58,bluntslut,46.66881068,42.15349373,43.32556004,44.73074076,38.55562241
59,thisisayden,42.01215286,53.93439911,20.92563042,64.11853147,59.72866858
60,oslo_marlo,37.02351361,41.18841154,37.4863392,38.99587266,43.62329986
61,dustyiverson,44.98176963,43.7521521,24.69573911,63.53912022,57.11403015
62,mamabear_runs_marathons,36.58903113,32.02795297,26.49006345,46.30146052,45.24122213
